"Use Case Name","Segment / Function","Date Updated","RAG Status","Stage","AI Tools","Use Case Strategy","Total Headcount Field","Use Case Description","Outcomes/Deliverables","Planned Status Q1 2025","Planned Status Q2 2025","Planned Status Q3 2025","Planned Status Q4 2025","Created","Modified","Modified By"
"Intercompany settlement automation","Finance","8/7/2025","Green – as per plan or better","Implementation","[]","Build",,,,,,,,"2/2/2025 7:49 PM","8/7/2025 8:18 AM","Delaney, Ann (TR Finance)"
"EIP Automation: month-end close & transactional activities","Finance","8/7/2025","Green – as per plan or better","Experimentation","Alteryx,PowerBI","Build",,"Savings identified will come from a combination of simplification / automation ideas in Outside Services, Cloud, Sofware
a) Q4'25   :   Outside services automation ( SoW T&M accrual calculation process ) in progress - UAT expected by Mid May'25 ; on track to achieve the savings outlined
b) Software - single repository initiative which will form the basis for all simplification / automation initiatives is in progress
","Savings identified will come from a combination of simplification / automation ideas in Outside Services, Cloud, Sofware
a) Q4'25   :   Outside services automation ( SoW T&M accrual calculation process ) in progress - UAT expected by Mid May'25 ; on track to achieve the savings outlined
b) Software - single repository initiative which will form the basis for all simplification / automation initiatives is in progress
","a) Semantic Layer for GL ( analysis / reporting ) rolled out ; UAT completed ; trainings in progress
b) Net outside services automation using Alteryx under discussion","Outside services automation ( SoW T&M accrual calculation process ) in progress - UAT expected by Mid May'25 ; on track to achieve the savings outlined","First tranche of automation complete ;  savings primarily during the WD-1 to WD+3 period ;  ","tbd","2/2/2025 7:50 PM","8/7/2025 8:21 AM","Delaney, Ann (TR Finance)"
"Automation of Indirect Tax Filings ","Finance",,"Green – as per plan or better","Experimentation","[]","Build",,,,,,,,"2/2/2025 7:52 PM","2/2/2025 7:52 PM","Delaney, Ann (TR Finance)"
"Leverage NeoTax to Collect Docs (UK)","Finance",,"Green – as per plan or better","Experimentation","[]","Build",,,,,,,,"2/2/2025 7:53 PM","2/2/2025 7:53 PM","Delaney, Ann (TR Finance)"
"NDA Review (Customer Zero Labs)","General Counsel","9/26/2025","Green – as per plan or better","Implementation","Co-Counsel","Build","40","Review and redline of third party NDAs against Policies using CPC skill in CoCounsel","POC#2 is testing a refined list of prompts for more accurate redlining
Preparing for 2 week sprint to end on 31 March 2025
Thereafter results will be analysed for efficacy and whether we move to implementation or run POC#3","Determine if we can move to implementation or run POC#3","Phase 1 & 2 done (32 prompts)","4 GCO C&C members are testing and will rate complexity of NDA and ask for sentiment rating on efficiency etc. Check in scheduled for week of August 25","Evaluate results of CPC testing and determine next steps: The NDA testing kickoff call for the playbook skill was held this week (22nd Sept), and initial feedback has already been received from participants. Adjustments to the playbook skill are currently being made based on this feedback. 
The next round of NDA testing, using new documents, is scheduled to begin on Tuesday 30th September and is expected to be completed by the following Tuesday.","2/3/2025 12:23 PM","9/26/2025 10:46 AM","Coffin, Dorine (TR General Counsel)"
"CoCounsel High Volume (General Use Case)","General Counsel","9/26/2025","Green – as per plan or better","Experimentation","Co-Counsel","Build",,"POC to review large sets of contracts, correspondence or other documents using CoCounsel High Volume","Bulk review with deviations report","POC#1 completed","Determine three use cases for priority to test CoCounsel High Volume​:

#1: Using High Volume to review post-acquisition contracts for non-negotiables​
#2: Using High Volume to review existing contracts for non-negotiables​
#3: Using High Volume in eDiscovery for active litigation","Test the three use cases identified in Q2 with assistance from Customer Zero team.","#1: Minor tweaks needed for this high volume use case to be implemented. Once the tweak is done, this use case will be considered complete for the project team and will move to the product management team for further support. 
#2: remains on hold.
#3: Prompts are being revised, after which Litigation GCO team will review and decide if further revisions are needed. If prompts are satisfactory, they will be run over a larger database of over 40,000 documents. 
Employment team to also upload discovery documents into the high volume tool for future litigation use, even if no immediate discovery is pending. Files to be selected and timeline for document upload to be determined, with an update expected in October.","2/3/2025 12:43 PM","9/26/2025 10:54 AM","Coffin, Dorine (TR General Counsel)"
"AI-Powered Pre-Call Planning v2 (Agentic Customer Enhanced Signals)","GTM - TAP","9/30/2025","Green – as per plan or better","Experimentation","AI Platform","Build",,"Part of a series of use cases, where specific AI-habits will be integrated into and enhance the sales workflow. Implement an AI-powered pre-call planning solution that would deliver customer insights and tailored talking points, enabling more personalized and strategic conversations to boost the likelihood of closing sales while saving time and simplifying the reps' workflow.
v1.1 - Whitespace discovery, delivered through Copilot for Edge
v1.2 - Existing customer agentic workflow, delivered in collaboration with Customer Excellence via crew.ai (ACES: Agentic Customer Enhanced Signals)
v1.3 - Automated agentic workflow, delivered in collaboration with Customer Excellence","Improving efficiency while increasing quality, helping to improve conversion rate, win rate, and average order value.

August Update:  Status: Limited rollout (Tax Mid Market only) as of August - awaiting Salesforce integration for broader go-live.
","Initial development and proof of concept developed in Q1 '25.","Pilot (beta testing) launched in Q2 2025 (in-progress)","Live to Tax Mid Market Reps only","TBD - need Commercial Excellence to weigh in on expansion plan and full-roll out","2/3/2025 1:03 PM","9/30/2025 3:44 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"Gong AI Custom Briefs ","GTM - TAP","9/30/2025","Green – as per plan or better","Launch","Gong","Build",,"-QBR meeting prep discovery, leveraging Gong's AI Brief customization capabilities to streamline the client exective quarterly business review preparation. (QBR Brief)
-Sales to Success Handoff, leveraging Gong's AI Brief customization capabilities, eliminating multiple manual touch points, calls, meetings, and manual survey or questionnaire requirements, but building out an automated briefing that will suffice as a sales to success handoff based on customer / sales interactions recorded in Gong. (Sales to Success Handoff Brief)
-Account Planning Brief (discovery/exploration)","Improving efficiency while increasing quality, helping to improve conversion rate, win rate, and average order value.","N/A","Discovery","Build out solution using Gong and other existing tools based on discovery/requirements.","Expand custom briefs; discovery around Account Planning Briefs in Gong","2/3/2025 1:05 PM","9/30/2025 3:45 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"AI Sales Assistant v1","GTM - TAP","9/30/2025","Red – stopped/postponed > 3 months","Not Implemented","CoPilot Studio","Hybrid",,"USE CASE IS PAUSED DUE TO GAPS IN COPILOT FUNCTIONALITY AND INTERNAL/EXTERNAL EXPERTISE RESULTING IN UNRELIABLE PERFORMANCE.

SEs & CEs often struggle to answer customer commercial policy questions, typically escalating from peers to managers to the commercial policy team. Implementing AI as the first escalation point can reduce the need for further escalation and provide immediate answers.

v1 Solving for Commercial Policy inquiries, leveraging an AI Chat Bot to query against existing commercial policy documentation and information sources. 
Users: Sales Executives & Client Executives ","Reduced administrative time for reps and managers. Streamline compliance with commercial policies","Plan to release to sales floor in Q1 '25. Currently experiencing delays due to Copilot technical glitches and commercial policy complexities.","Planned to be deployed - paused currently","Planned to be deployed - paused currently","Planned to be deployed - paused currently","2/3/2025 1:10 PM","9/30/2025 3:47 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"AI-Driven Document and Meeting Summarization ","GTM - Corporates","9/11/2025","Green – as per plan or better","Launch","CoPilot 365","Buy","800","Copilot streamlines document creation, editing, and management by assisting with tasks such as content generation, summarization, and data analysis, making it easier to work with large amounts of information. With Copilot, users can quickly generate documents, summarize lengthy texts, analyze data, and manage emails and conversations, ultimately enhancing productivity and collaboration across Microsoft applications like Excel, Outlook, and Teams","Increased Productivity: Automating routine tasks allows users to focus on higher-value activities

Enhanced Creativity: AI-driven content generation and editing tools help users create high-quality documents and presentations more efficiently

Improved Decision-Making: Data analysis and summarization capabilities provide actionable insights, supporting better decision-making

Streamlined Communication: Efficient email and meeting management improve overall communication ","705 licenses now issued across Corporates. ","Continue adopting and build case for next round of licenses. ","Continue adopting and build case for next round of licenses. ","Continue adopting and build case for next round of licenses. ","2/3/2025 2:21 PM","9/11/2025 9:45 AM","Wang, Billy (Corporates)"
"Other AI Experimentation - Talent Highlights (Learning & Dev)","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Workday","Buy",,"Implement Workday Talent Highlights functionality to provide managers with AI-powered decision-making support through data aggregation of performance reviews, skills data, career aspirations, and project involvement, presented in easily digestible visual format.","Enhanced manager decision-making through comprehensive data aggregation, improved visibility into employee performance and aspirations, streamlined talent management processes, and data-driven insights for career development and project assignments.","Testing Functionality
SME testing
End-User testing
","Wait on WD enhancements targeted for Q1 2026.","Testing completed.  Feedback on eligibility issues delivered back to WD.  Decision made to hold on go-live until issues are resolved.","TBC","2/21/2025 11:48 AM","10/8/2025 3:45 PM","Morse, Jonathan R. (TR People)"
"Other AI Experimentation - CoCounsel (HR)","People / Comms","10/8/2025","Green – as per plan or better","Implementation","Co-Counsel","Build",,"Deploy CoCounsel AI platform targeting HR areas including employee relations, mergers & acquisitions, and policy management to drive AI adoption, achieve productivity gains, and create new revenue opportunities for TR through HR user services.","Enhanced HR legal and policy support capabilities, improved productivity in employee relations and M&A activities, AI-driven policy management efficiency, and potential new revenue streams through external HR user services.","Customer success manager engaged. Users requested accounts. Expand HR usage ","Training / o boarding. Gather additional HR user cases 
•	Active engagement with internal account manager
•	HR support for the external product roadmap
","Customer success manager engaged. Account delivered. Orientation / kick off sessions delivered.  

Embedded and expanding in HR; measurable results.","Embedded and expanding in HR; measurable results.","2/21/2025 11:51 AM","10/8/2025 3:45 PM","Morse, Jonathan R. (TR People)"
"Other AI Experimentation - Workday Illuminate","People / Comms","10/8/2025","Green – as per plan or better","Launch","Workday","Buy",,"Deploy Workday Illuminate for answering complex questions and automating routine tasks, providing personalized, contextual support integrated into workflows to help users accomplish more with reduced effort across multiple HR and business functions.","Automated routine task completion, enhanced complex question resolution capabilities, personalized contextual workflow support, improved user productivity through intelligent task assistance, and streamlined business process execution.","Make the following available in prod: 
Change Job
Change My Personal Information
Change My Preferred Name Pronunciation
Change My Preferred Name
My Contact Information
My Emergency Contacts
Change My Contact Information
Change My Home Contact Information
Change My Emergency Contacts","Make the following available in prod: 
 
Create Job Requisition
 View Job Requisition
 Edit Job Requisition
 Create Confidential Job Req
 Create Evergreen Requisition
 Find Jobs
View Payslip
 My Payslips
Manage Absence
 Time Off Balance
Terminate Employee
Case Summaries 
","Deployed task assistant for 9 tasks:
Create Job Requisition
View Job Requisition
Edit Job Requisition
Create Evergreen Req
Find Jobs
Manage Absence
Time off Balance
Terminate Employee
View PaySlip

•	Testing Workday illuminate Report Ai","Monitor","2/21/2025 11:53 AM","10/8/2025 3:46 PM","Morse, Jonathan R. (TR People)"
"Other AI Experimentation - Workday M365 Copilot","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","CoPilot 365,Workday","Hybrid",,"Integrate Workday with Microsoft 365 Copilot to help employees and managers access Workday information directly within M365 Copilot, improving productivity through seamless cross-platform data access and intelligent assistance.","Enhanced employee and manager productivity through integrated Workday-M365 access, streamlined information retrieval across platforms, improved workflow efficiency, and seamless cross-system intelligent assistance capabilities.","First hands-on access expected in March for testing. Identifying O365 Admin to facilitate app install (when available).  Workday will make app available for download/install at the end of March. ","Installed BETA version. Testing is on the way: 
My Tasks 
Performance Reviews (Including Goals & Feedback)
Search Assistant
","First hands-on access expected in March for testing. Identifying O365 Admin to facilitate app install (when available).

Continue partner with Workday for testing use cases

","TBC","2/21/2025 11:55 AM","10/8/2025 3:47 PM","Morse, Jonathan R. (TR People)"
"Story Kit for Marketing Video","Reuters - Commercial","2/27/2025","Green – as per plan or better","Experimentation","Story Kit","Buy",,"Online video editing with some AI-led capabilities (i.e. script writing) - this will help us create videos faster for our marketing materials","Create more videos faster - sizzle videos, videos for the website, social media assets, long-format content editing. 
Increase use of video format in Marketing materials.","Evaluate whether we could license and use this. Tool is currently being analysed by TR technology team. If we get a go-ahead, plan to use it for 1 year and evaluate output, efficiency and cost gains.","Evaluate output, efficiency and cost gains.","Evaluate output, efficiency and cost gains.","Evaluate output, efficiency and cost gains.","2/27/2025 3:40 PM","2/27/2025 4:34 PM","Priyadarshini, Swagatika (Reuters)"
"Adobe Firefly for Image generation","Reuters - Commercial","2/27/2025","Green – as per plan or better","Experimentation","Adobe Firefly","Buy",,"AI image generation for use in marketing materials","Test the AI generated images - mostly out of curiosity to see where we could use. Currently we mostly use Reuters-owned images on our Agency designs","Experiment","NA","NA","NA","2/27/2025 3:44 PM","2/27/2025 3:44 PM","Priyadarshini, Swagatika (Reuters)"
"Jasper for campaign management and message customization","Reuters - Commercial","2/27/2025","Amber – delay/risks/challenges","Ideation","Jasper","Buy",,"Campaign automation via AI > they have a myriad of tools that are built into a process that helps to automate and personalize campaigns, from audience scoping to final individual asset per customer","Create bespoke communications for customers at scale ","Just had a demo, haven’t taken it forward due to restricted budgets and prioritization of other tasks.","NA","NA","NA","2/27/2025 3:48 PM","2/27/2025 3:48 PM","Priyadarshini, Swagatika (Reuters)"
"OpenArena Marketing use cases","Reuters - Commercial","2/27/2025","Green – as per plan or better","Experimentation","Open Arena","Build",,"Marketing team is working on one cross-departmental AI project each month","Key outcomes for Q1:
1. Automated web page meta title, meta description and keyword tool
2. Prompt to write in the Reuters tone of voice
3. Audience segmentation and messaging ","1. Automated web page meta title, meta description and keyword tool - Done. When creating a new web page or landing page, you run the content through the saved prompt on Open Arena and it generates the meta title, description and page keyword for SEO purposes.

2. Prompt to write in the Reuters tone of voice: In production right now. 
3. Audience segmentation and messaging : Planned/ not yet started


","TBD","TBD","TBD","2/27/2025 3:57 PM","2/27/2025 4:35 PM","Priyadarshini, Swagatika (Reuters)"
"Gong","Reuters - Commercial","9/1/2025","Red – stopped/postponed > 3 months","Business Case","Gong","Buy",,"Gong can greatly help Sales teams and Sales managers in collating customer interactions and conversational intelligence. It would allow Reuters Sales teams improve how they serve customers with a more coordinated outreach, AI recommended actions and coaching. The intention of this project is to test is the right fit for Reuters thus we have acquired 5 licenses in 2025.
However, this effort has now been put on hold and is being reassessed with Julia Hartfield's team due to systems development planned (Reuters Salesforce instances integration). ","Gong integrated with Reuters Salesforce instance. ","On hold","Dependent on business decision to move forward with the solution","Dependent on business decision to move forward with the solution","Dependent on business decision to move forward with the solution","2/28/2025 3:09 AM","9/2/2025 7:14 AM","Baranczak-Wosik, Ola (Reuters)"
"Salesforce - Sales Engagement","Reuters - Commercial","9/10/2025","Red – stopped/postponed > 3 months","Ideation","Sales Engagement","Hybrid",,"Commercial Excellence is looking to explore Salesforce's Sales Engagement to help sales teams boost the productivity by integrating various sales activities directly into Salesforce. It is part of the Salesforce license already.","Sales Engagement adopted for selected teams / use cases / selected features as determined by the discovery by Commercial Excellence","Benefits identified and decision made whether to implement for Reuters. ","Deprioritized since we don't have enough resources to explore both Outreach and Sales Engagement, and Outreach is considered a better fit for our needs","Deprioritized since we don't have enough resources to explore both Outreach and Sales Engagement, and Outreach is considered a better fit for our needs","Deprioritized since we don't have enough resources to explore both Outreach and Sales Engagement, and Outreach is considered a better fit for our needs","2/28/2025 3:17 AM","9/11/2025 3:56 AM","Baranczak-Wosik, Ola (Reuters)"
"Outreach for Sales","Reuters - Commercial","9/10/2025","Green – as per plan or better","Implementation","Outreach","Hybrid",,"Commercial Excellence is looking to explore Outreach to help sales teams improve their efficiency and effectiveness. ","Outreach use cases / features / target teams adopted. ","Decision made if Reuters will adopt Outreach. Use cases / features / target teams identified. ","Ideation / capability assessment","By the end of Q3 we should be able to initiating pilot with Agency AMERS sales team. ","Pilot evaluation, and if successful, roll out to more teams","2/28/2025 5:15 AM","9/11/2025 3:59 AM","Baranczak-Wosik, Ola (Reuters)"
"Gainsight for Customer Success/Retention","GTM - AEM","9/3/2025","Amber – delay/risks/challenges","Launch","Gainsight","Buy","50","Gainsight:
Customer Retention : Improve retention rate and reduce customer churn
Improve topline revenue : Identify Cross Sell and Upsell opportunities thus contributing to revenue expansion
AI enabled health score and Call to Actions (CTA) : Help in proactively identifying cancellation risk, by monitoring health score","Gainsight
% Improvement in Retention Rate
Net Revenue Retention
","ANZ roll out in March 2025. Adoption is WIP","Adopt and measure","Rollout to other regions","Roll out CTAs & Timeline activity . Gong integration to Gainsight usecase","3/12/2025 3:25 AM","9/3/2025 11:15 AM","Puliyankalath, Rajesh (TR Commercial Excellence)"
"Codes Indexes","Editorial (Product)","3/21/2025","Green – as per plan or better","Experimentation","AI Platform","Build","10","Create or support the creation of Indexes for our Codes products using AI.","Create or support the creation of Indexes for our Codes products using AI.","NA","Kick off experiment","Assess","TBD","3/21/2025 8:49 AM","9/3/2025 10:04 AM","Mulrooney, Lisa K. (TR Product)"
"Streamlining and automating AI and data governance processes","Data & Analytics","3/28/2025","Green – as per plan or better","Experimentation","AI Platform,Alation,Datactics","Hybrid",,"There are three parts to this use case. 
1. AI Enabled Data Quality Management. This involves using AI for automating data quality insights, creating an AI agent to help prevent and remediate duplicates and turning on AI features in Datactics, the data quality tool, to enable self-serve data quality management.
2. AI Enabled Data Cataloging. Leverage Alation's AI features (ALLIE AI) to automate and streamline core catalogue business processes.
3. Automated AI Governance. Use AI to automate airflow pipelines for OneTrust data flowing into Snowflake enterprise data lake.","Time savings for data and AI stewards.
Compute savings.
Improved data quality.","High level work plans and benefits are complete.","Initiate POC for AI solution to prevent and remediate duplicates.","Enable AI features in Alation and Datactics in order to complete discovery work.","POC on self-serve data quality management.
Decisions made on go forward implementation.","3/28/2025 9:20 AM","3/28/2025 9:22 AM","Gregory, Jake (TR Technology)"
"Code generation for data engineering and data science.","Data & Analytics","3/28/2025","Green – as per plan or better","Implementation","Github CoPilot","Buy",,"Leverage GitHub Copilot for dbt code generation for building data pipelines, code documentation for Informatica jobs, data engineering, and data science. ","Time savings.","Complete high level estimates for benefits and timelines for expanding licensing.","Licenses procured and available to primary resources.","Complete adoption.","Optimize usage and realize benefits.","3/28/2025 9:25 AM","5/1/2025 10:29 AM","Gregory, Jake (TR Technology)"
"Ask Bill","General Counsel","3/28/2025","Amber – delay/risks/challenges","Experimentation","Co-Counsel","Build",,"ASK Bill is designed to provide quick and easy access to essential information on Resilience at TR. It covers topics such as Business Continuity, Crisis Management, Disaster Recovery, Environmental Health & Safety, and Global Physical Security. AskBill is also part of the Legal Tracker 2025 Roadmap, where it is integrated with CoCounsel for Legal Tracker. ","The GCO is actively using AskBill to streamline various processes and enhance efficiency. 
Legal Tracker users can have conversations with their matter data and Legal Tracker’s Global Benchmark via CoCounsel
 his integration allows users to confidently delegate routine tasks to their AI assistant, ensuring total clarity on matter progress with outside counsel.","n/a","Ask Bill to seek additional use case in other teams with in the GCO.","AskBill is part of the Legal Tracker 2025 Roadmap, where it is integrated with CoCounsel for Legal Tracker. Us","n/a","3/28/2025 6:34 PM","3/28/2025 6:34 PM","Wurst, Lyndsey (TR General Counsel)"
"Use of AI in Legal Tracker to remove administrative burden","General Counsel","8/25/2025","Amber – delay/risks/challenges","Not Implemented","TR Legal Task Manager,Legal Tracker","Build","5","1) Budgeting and Reporting using Legal Tracker
2) The Legal Tracker product team has invited our legal operations team to assist in flagging relevant responses to AI prompts, and we may be further involved as Beta Testers for upcoming features.
As part of this initiative, we have activated the AI Duplicate Line-Item Review functionality in Legal Tracker. This feature leverages AI to identify potential duplicate line items in invoices submitted by outside counsel, enabling a more precise audit and ensuring accurate billing.
","Efficiency Savings: The AI-powered invoice review assistant will uncover subtle billing discrepancies often missed by human reviewers, significantly enhancing the accuracy and efficiency of the invoice review process. Enhanced accuracy to improve the accuracy and efficiency of duplicate detection, especially for invoices with numerous line item. Cost Savings: Will provide actionable insights to increase cost savings, minimizing or eliminating the need for user interaction. This will help reduce manual effort and ensure compliance with outside counsel billing guidelines. This feature also aims to reduce manual effort and ensure compliance with billing guidelines by converting non-LEDES invoices to LEDES format.","n/a","Legal Tracker product team members have asked our Legal Operations team to start assisting in flagging relevant responses to AI prompts. We may be asked to be Beta Testers","Explore the capabilities of Legal Tracker for budgeting and reporting on litigation matters, including estimates and actuals: Call scheduled for 9th July to walk through what this would look like.
","TBC","3/28/2025 7:00 PM","8/25/2025 12:12 PM","Ruddick, Jen (TR General Counsel)"
"GenAI Dev Items","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Workday","Buy",,"Leverage Workday's Generative AI to assist employees in generating detailed development items, avoiding the ""blank page"" problem and increasing adoption while supporting employee upskilling through intelligent content suggestions and templates.","Increased development item creation and adoption, enhanced employee upskilling support, reduced time-to-start for development planning, and improved development item quality through AI-generated templates and suggestions.","Testing of final feature enhancements in April.  Testing Functionality, SME testing, End-User testing
","Move to prod for all employees in June.","Monitor","Monitor","4/22/2025 9:38 AM","10/8/2025 3:48 PM","Morse, Jonathan R. (TR People)"
"SOW Summarization","Professional Services (Corporates)","8/11/2025","Green – as per plan or better","Launch","AI Platform: Open Arena","Build","600","Summarizing the SOWs by extracting the top 60 important fields and summarizing the content. SOW data is to be  pulled into a central place that can be data mined for various parts of the business","data mined for various parts of the business","Testing","Testing","Complete - Change management started for this. Comms delivered to users. ","Complete
","5/2/2025 6:02 AM","8/11/2025 9:14 AM","Kellum, Blair (Professional Services)"
"Approval Queue","Professional Services (Corporates)","8/11/2025","Green – as per plan or better","Implementation","AI Platform: Open Arena","Build",,"Reviewing quotes/proposals that contain a service offering, and approving or rejecting based on specific conditions.","Reviewing quotes/proposals that contain a service offering, and approving or rejecting based on specific conditions.","Testing","- UAT Tentatively end by 17 April 2025 ","Implemented
","Complete
","5/2/2025 6:03 AM","8/11/2025 9:14 AM","Kellum, Blair (Professional Services)"
"AI Custom Tables","Professional Services (Corporates)","8/11/2025","Green – as per plan or better","Implementation","AI Platform: Open Arena","Build",,"AI to read client files and produce the codes for custom content to be uploaded to OSR during implementations.","AI to read client files and produce the codes for custom content to be uploaded to OSR during implementations.","Testing","- Mapping of XML for Standard table in progress. 40% completed. Non standard tables POC to begin as we receive the XML tagging rules
- Non standard tables POC to begin as we receive the XML tagging rules","Implementation","Complete
","5/2/2025 6:04 AM","8/11/2025 9:11 AM","Kellum, Blair (Professional Services)"
"AI Account Mapping in OSR","Professional Services (Corporates)","4/28/2025","Green – as per plan or better","Experimentation","AI Platform: Open Arena","Build",,"Mapping of client accounts to OSR categories.
","Mapping of client accounts to OSR categories.
","Testing","Pending mapping of categories from the business on the 1st output file. Due to the Priority on the XML use case. Hence next action awaiting for this use case.","[Need Info]","[Need Info]","5/2/2025 6:06 AM","5/2/2025 6:06 AM","Morse, Jonathan R. (TR People)"
"AI GAP Analysis","Professional Services (Corporates)","4/28/2025","Green – as per plan or better","Experimentation","AI Platform: Open Arena","Build",," ability to compare two pdf documents and log the differences to excel file for OSR implementations."," ability to compare two pdf documents and log the differences to excel file for OSR implementations.","Testing","Will review the use case post 1 and 2 OSR priority use case.","[Need Info]","[Need Info]","5/2/2025 6:09 AM","5/2/2025 6:09 AM","Morse, Jonathan R. (TR People)"
"AI Integration Testing Automation Tool","Professional Services (Corporates)","4/28/2025","Amber – delay/risks/challenges","Implementation","AI Platform: Open Arena","Build",,"a tool designed to validate and enhance integration files based on product specific requirements with ability to provide feedback on product specific specifications, detect errors based on the specifications (including data type and completeness), and suggest improvements based on best practices and historical data.","Refer to Use Case Description","Testing","Testing (More details to be collected from business line)","Testing- Files provided to tech team - Testing user has constraints due to extreme work load- Testing may be delayed ","Complete","5/2/2025 6:11 AM","8/11/2025 9:13 AM","Kellum, Blair (Professional Services)"
"AI Customer Hub","Professional Services (Corporates)","4/28/2025","Green – as per plan or better","Experimentation","CoPilot Studio","Build",,"specific use case with Training subscriptions – AI tool that cross references what was ordered (SFDC/SAP) with customer onboarding data (training user created) with usage of training and then suggest next steps based on the info (courses to take, upsells, etc.) ","See Use Case Description","Testing","Continue Testing. Has been prioritized by the business","[Need Info]","[Need Info]","5/2/2025 6:12 AM","5/2/2025 6:13 AM","Morse, Jonathan R. (TR People)"
"Aura Co-Pilot","GTM - TAP","9/30/2025","Red – stopped/postponed > 3 months","Experimentation","AI Platform","Buy",,"The Aura Co-Pilot is an AI-powered assistant embedded within the Seismic platform, designed to enhance content management and search capabilities for sales teams at Thomson Reuters. The project is led by Sarah Brooks from the Advisor team, TAAP is involved in the pilot (along with other segments). ","Its core functionalities include:

AI Search: Enables users to find documents using natural language prompts and receive follow-up suggestions.
Content Management: Automates metadata tagging, generates content descriptions, and supports bulk updates.
Page Building: Assists in generating content for pages, playbooks, and hubs, with grounded writing and translation capabilities 1 2 3.
The tool is intended to streamline administrative tasks, improve content discoverability, and support sales reps by providing quick, relevant answers to their questions about TR products and services.","N/A","Pilot from April 17 - May 23","No updates received from commercial excellence. ","No updates received from commercial excellence","5/30/2025 3:31 PM","9/30/2025 3:47 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"Test automation framework for SAP (Tosca)","CIO","8/31/2025","Green – as per plan or better","Implementation","Tosca","Buy",,"Replacement of Worksoft with Tricentis Tosca for SAP testing automation across ECC and S/4 HANA environments. The current solution requires 7 FTEs to manage 550 test cases at $130,000 annually in licensing costs. Tricentis Tosca offers AI-powered test creation, model-based efficiency, and better integration with SAP environments.","The transition is projected to reduce staffing needs by 4 FTEs and save $50,000-$75,000 in annual licensing costs.","N/A","Completed technical architecture review and received approval for Tosca installation","This use case has been incorporated into the AI Reimagine Tiger Team strategic framework and is being evaluated through enhanced governance processes with dedicated AI squad support to accelerate implementation and value delivery.","TBD","6/1/2025 6:47 PM","9/9/2025 11:38 AM","Almaguer, Fernando (TR Technology)"
"Project Aether (formerly AskJulius Orchestrator)","CIO","8/31/2025","Green – as per plan or better","Implementation","Julius AI","Hybrid",,"Project Aether entails the implementation of AskJulius as an agentic AI orchestrator for AWS Cloud Landing Zone to address inefficiencies in account inflation and support processes. Currently, these manual tasks consume 11 days per sprint of engineering resources and are becoming unsustainable with 15% account growth. ","The solution will automate account inflations and provide context-aware support responses, reducing engineering time while improving service quality. With a $250K initial investment and $114K annual run costs, the MVP will deliver $873.6K in annual benefits, achieving break-even in Q2 2026 and generating a net annual benefit of $759.6K before expanding to six additional agents.","N/A","Finalized architecture design and inflated AWS accounts for development ","This use case has been incorporated into the AI Reimagine Tiger Team strategic framework and is being evaluated through enhanced governance processes with dedicated AI squad support to accelerate implementation and value delivery.","TBD","6/1/2025 6:56 PM","9/9/2025 11:38 AM","Almaguer, Fernando (TR Technology)"
"Global Command Center (GCC) Optimization","CIO","8/31/2025","Green – as per plan or better","Experimentation","AI Platform: Open Arena,ServiceNow ITOM ","Hybrid",,"Implementation of an intelligent event management platform that provides automated incident identification, routing, and response capabilities. Currently, the GCC team manages a significant volume of events and incidents that require manual triage and resolution. Two technical approaches are being evaluated: a custom-built AI platform solution integrating multiple data sources, and ServiceNow's ITOM AI Ops Pro capabilities. ","Both solutions aim to establish a central control plane using AI to streamline these processes.","N/A","Custom-built AI platform – Beta users validated high accuracy, obtained production deployment approval.

ServiceNow's ITOM – ServiceNow platform discussions are on hold pending completion of contract negotiations; strategic decision required to proceed with ServiceNow's ITOM to formulate an MVP and define further milestones.","This use case has been incorporated into the AI Reimagine Tiger Team strategic framework and is being evaluated through enhanced governance processes with dedicated AI squad support to accelerate implementation and value delivery.","TBD","6/1/2025 7:03 PM","9/9/2025 11:39 AM","Almaguer, Fernando (TR Technology)"
"Monitoring & Observability","CIO","8/31/2025","Green – as per plan or better","Experimentation","Bits AI,ServiceNow ITOM ","Hybrid",,"Implementation of natural language interfaces for querying monitoring data to accelerate incident resolution. Currently, 110 engineers spend approximately 92 hours weekly (equivalent to 2 FTEs) on incident management. Two technical paths are being explored: DataDog's BitsAI natural language interface and ServiceNow's AI capabilities. ","Both solutions will enable natural language querying of logs, events, and monitor status to find issues faster and prevent future incidents.","N/A","Bits AI – Added additional orgs to DataDog PoC and negotiated service investigation limits.

ServiceNow's ITOM – ServiceNow platform discussions are on hold pending completion of contract negotiations; strategic decision required to proceed with ServiceNow's ITOM to formulate an MVP and define further milestones.","This use case has been incorporated into the AI Reimagine Tiger Team strategic framework and is being evaluated through enhanced governance processes with dedicated AI squad support to accelerate implementation and value delivery.","TBD","6/1/2025 7:06 PM","9/9/2025 11:39 AM","Almaguer, Fernando (TR Technology)"
